sample,fastq_1,fastq_2,replicate
WT,/lustre/scratch126/gengen/projects_v2/escramble/001_007_OTX2/Manuscripts/OTX2/Revision_R_codes/006_atac_seq/fastq/WT_rep_1_R1.fastq.gz,/lustre/scratch126/gengen/projects_v2/escramble/001_007_OTX2/Manuscripts/OTX2/Revision_R_codes/006_atac_seq/fastq/WT_rep_1_R2.fastq.gz,1
WT,/lustre/scratch126/gengen/projects_v2/escramble/001_007_OTX2/Manuscripts/OTX2/Revision_R_codes/006_atac_seq/fastq/WT_rep_2_R1.fastq.gz,/lustre/scratch126/gengen/projects_v2/escramble/001_007_OTX2/Manuscripts/OTX2/Revision_R_codes/006_atac_seq/fastq/WT_rep_2_R2.fastq.gz,2
AD,/lustre/scratch126/gengen/projects_v2/escramble/001_007_OTX2/Manuscripts/OTX2/Revision_R_codes/006_atac_seq/fastq/AD_rep_1_R1.fastq.gz,/lustre/scratch126/gengen/projects_v2/escramble/001_007_OTX2/Manuscripts/OTX2/Revision_R_codes/006_atac_seq/fastq/AD_rep_1_R2.fastq.gz,1
AD,/lustre/scratch126/gengen/projects_v2/escramble/001_007_OTX2/Manuscripts/OTX2/Revision_R_codes/006_atac_seq/fastq/AD_rep_2_R1.fastq.gz,/lustre/scratch126/gengen/projects_v2/escramble/001_007_OTX2/Manuscripts/OTX2/Revision_R_codes/006_atac_seq/fastq/AD_rep_2_R2.fastq.gz,2
R4,/lustre/scratch126/gengen/projects_v2/escramble/001_007_OTX2/Manuscripts/OTX2/Revision_R_codes/006_atac_seq/fastq/R4_rep_1_R1.fastq.gz,/lustre/scratch126/gengen/projects_v2/escramble/001_007_OTX2/Manuscripts/OTX2/Revision_R_codes/006_atac_seq/fastq/R4_rep_1_R2.fastq.gz,1
R4,/lustre/scratch126/gengen/projects_v2/escramble/001_007_OTX2/Manuscripts/OTX2/Revision_R_codes/006_atac_seq/fastq/R4_rep_2_R1.fastq.gz,/lustre/scratch126/gengen/projects_v2/escramble/001_007_OTX2/Manuscripts/OTX2/Revision_R_codes/006_atac_seq/fastq/R4_rep_2_R2.fastq.gz,2
R5,/lustre/scratch126/gengen/projects_v2/escramble/001_007_OTX2/Manuscripts/OTX2/Revision_R_codes/006_atac_seq/fastq/R5_rep_1_R1.fastq.gz,/lustre/scratch126/gengen/projects_v2/escramble/001_007_OTX2/Manuscripts/OTX2/Revision_R_codes/006_atac_seq/fastq/R5_rep_1_R2.fastq.gz,1
R5,/lustre/scratch126/gengen/projects_v2/escramble/001_007_OTX2/Manuscripts/OTX2/Revision_R_codes/006_atac_seq/fastq/R5_rep_2_R1.fastq.gz,/lustre/scratch126/gengen/projects_v2/escramble/001_007_OTX2/Manuscripts/OTX2/Revision_R_codes/006_atac_seq/fastq/R5_rep_2_R2.fastq.gz,2
R45,/lustre/scratch126/gengen/projects_v2/escramble/001_007_OTX2/Manuscripts/OTX2/Revision_R_codes/006_atac_seq/fastq/R45_rep_1_R1.fastq.gz,/lustre/scratch126/gengen/projects_v2/escramble/001_007_OTX2/Manuscripts/OTX2/Revision_R_codes/006_atac_seq/fastq/R45_rep_1_R2.fastq.gz,1
R45,/lustre/scratch126/gengen/projects_v2/escramble/001_007_OTX2/Manuscripts/OTX2/Revision_R_codes/006_atac_seq/fastq/R45_rep_2_R1.fastq.gz,/lustre/scratch126/gengen/projects_v2/escramble/001_007_OTX2/Manuscripts/OTX2/Revision_R_codes/006_atac_seq/fastq/R45_rep_2_R2.fastq.gz,2
